champion;genre;role;espece;ressource;type-de-portee;region;year;
Darius;Masculin;Haut;Humain;Mana;Mêlée;Noxus;2012;
Diana;Feminin;Jungle - Milieu;Hôte - Humain;Mana;Mêlée;Targon;2012;
Dr. Mundo;Masculin;Haut;Altéré Chimiquement - Humain;Coûts de santé;Mêlée;Zaun;2009;
Draven;Masculin;Bas;Humain;Mana;À distance;Noxus;2012;
Ekko;Masculin;Jungle - Milieu;Humain;Mana;Mêlée;Zaun;2015;
Elise;Feminin;Jungle;Humain - Altéré Magiquement;Mana;Mêlée - À distance;Noxus - Îles Obscures;2012;
Evelynn;Feminin;Jungle;Démon - Esprit;Mana;Mêlée;Runeterra;2009;
Ezreal;Masculin;Bas;Humain - Né magique;Mana;À distance;Piltover;2010;
Fiddlesticks;Autre;Jungle;Démon - Esprit;Mana;À distance;Runeterra;2009;
Fiora;Feminin;Haut;Humain;Mana;Mêlée;Demacia;2012;
Fizz;Masculin;Milieu;Yordle;Mana;Mêlée;Bilgewater;2011;
Galio;Masculin;Milieu;Golem;Mana;Mêlée;Demacia;2010;
Gangplank;Masculin;Haut;Humain;Mana;Mêlée;Bilgewater;2009;
Garen;Masculin;Haut;Humain;Sans Mana;Mêlée;Demacia;2010;
Gnar;Masculin;Haut;Yordle;Rage;Mêlée - À distance;Freljord;2014;
Gragas;Masculin;Jungle - Haut;Humain - Né de glace;Mana;Mêlée;Freljord;2010;
Graves;Masculin;Jungle;Humain;Mana;À distance;Bilgewater;2011;
Gwen;Feminin;Jungle - Haut;Humain - Altéré Magiquement;Mana;Mêlée;Camavor - Îles Obscures;2021;
Hecarim;Masculin;Jungle;Mort-vivant;Mana;Mêlée;Camavor - Îles Obscures;2012;
Heimerdinger;Masculin;Milieu - Haut;Yordle;Mana;À distance;Piltover;2009;
Hwei;Masculin;Milieu;Humain - Né magique;Mana;À distance;Ionia;2023;
Illaoi;Feminin;Haut;Humain - Spiritualiste;Mana;Mêlée;Bilgewater;2015;
Irelia;Feminin;Milieu - Haut;Humain - Spiritualiste;Mana;Mêlée;Ionia;2010;
Ivern;Masculin;Jungle;Humain - Altéré Magiquement;Mana;À distance;Freljord - Ionia;2016;
Janna;Feminin;Support;Dieu - Esprit;Mana;À distance;Shurima - Zaun;2009;
Jarvan IV;Masculin;Jungle;Humain;Mana;Mêlée;Demacia;2011;
Jax;Masculin;Jungle - Haut;Inconnu;Mana;Mêlée;Icathia - Runeterra - Shurima;2009;
Jayce;Masculin;Milieu - Haut;Humain;Mana;Mêlée - À distance;Piltover;2012;
Jhin;Masculin;Bas;Humain - Spiritualiste;Mana;À distance;Ionia;2016;
Jinx;Feminin;Bas;Altéré Chimiquement - Humain;Mana;À distance;Zaun;2013;
K'Santé;Masculin;Haut;Humain;Mana;Mêlée;Shurima;2022;
Kai'Sa;Feminin;Bas;Humain - Être du néant;Mana;À distance;Shurima - Le Néant;2018;
Kalista;Feminin;Bas;Mort-vivant;Mana;À distance;Camavor - Îles Obscures;2014;
Karma;Feminin;Support;Humain - Spiritualiste;Mana;À distance;Ionia;2011;
Karthus;Masculin;Jungle;Mort-vivant;Mana;À distance;Noxus - Îles Obscures;2009;
Kassadin;Masculin;Milieu;Humain - Être du néant;Mana;Mêlée;Shurima - Le Néant;2009;
Katarina;Feminin;Milieu;Humain;Sans Mana;Mêlée;Noxus;2009;
Kayle;Feminin;Haut;Hôte - Humain - Altéré Magiquement;Mana;Mêlée - À distance;Demacia - Targon;2009;
Kayn;Masculin;Jungle;Darkin - Humain - Altéré Magiquement;Mana;Mêlée;Ionia - Noxus - Runeterra - Shurima;2017;
Kennen;Masculin;Haut;Yordle;Énergie;À distance;Ionia;2010;
Kha'Zix;Masculin;Jungle;Être du néant;Mana;Mêlée;Le Néant;2012;
Kindred;Autre;Jungle;Dieu - Esprit;Mana;À distance;Runeterra;2015;
Kled;Masculin;Haut;Yordle;Courage;Mêlée;Noxus;2016;
Kog'Maw;Masculin;Bas;Être du néant;Mana;À distance;Le Néant;2010;
LeBlanc;Feminin;Milieu;Humain - Altéré Magiquement;Mana;À distance;Noxus;2010;
Lee Sin;Masculin;Jungle;Humain - Spiritualiste;Énergie;Mêlée;Ionia;2011;
Leona;Feminin;Support;Hôte - Humain;Mana;Mêlée;Targon;2011;
Lillia;Feminin;Jungle;Esprit;Mana;Mêlée;Ionia;2020;
Lissandra;Feminin;Milieu;Humain - Né de glace;Mana;À distance;Freljord;2013;
Lucian;Masculin;Bas;Humain;Mana;À distance;Demacia - Îles Obscures;2013;
Lulu;Feminin;Support;Yordle;Mana;À distance;Bandle;2012;
Lux;Feminin;Milieu - Support;Humain - Né magique;Mana;À distance;Demacia;2010;
Malphite;Masculin;Haut;Golem;Mana;Mêlée;Ixtal - Shurima;2009;
Malzahar;Masculin;Milieu;Humain - Être du néant;Mana;À distance;Shurima - Le Néant;2010;
Maokai;Masculin;Support - Haut;Esprit;Mana;Mêlée;Îles Obscures;2011;
Maître Yi;Masculin;Jungle;Humain - Spiritualiste;Mana;Mêlée;Ionia;2009;
Mel;Feminin;Milieu - Support;Humain - Altéré Magiquement;Mana;À distance;Noxus - Piltover;2025;
Milio;Masculin;Support;Humain - Né magique;Mana;À distance;Ixtal;2023;
Miss Fortune;Feminin;Bas;Humain;Mana;À distance;Bilgewater;2010;
Mordekaiser;Masculin;Haut;Revenant;Bouclier;Mêlée;Noxus - Îles Obscures;2010;
Morgana;Feminin;Support;Hôte - Humain - Altéré Magiquement;Mana;À distance;Demacia - Targon;2009;
Naafiri;Feminin;Milieu;Darkin - Chien;Mana;Mêlée;Shurima;2023;
Nami;Feminin;Support;Vastaya;Mana;À distance;Bilgewater - Runeterra;2012;
Nasus;Masculin;Haut;Dieu-Guerrier;Mana;Mêlée;Shurima;2009;
Nautilus;Masculin;Support;Revenant;Mana;Mêlée;Bilgewater;2012;
Neeko;Feminin;Milieu - Support;Vastaya;Mana;À distance;Ixtal;2018;
Nidalee;Feminin;Jungle;Humain - Spiritualiste;Mana;Mêlée - À distance;Ixtal;2009;
Nilah;Feminin;Bas;Humain - Altéré Magiquement;Mana;Mêlée;Bilgewater;2022;
Nocturne;Masculin;Jungle;Démon - Esprit;Mana;Mêlée;Runeterra;2011;
Nunu et Willump;Masculin;Jungle;Humain - Yeti;Mana;Mêlée;Freljord;2009;
Olaf;Masculin;Haut;Humain - Né de glace;Mana;Mêlée;Freljord;2010;
Orianna;Feminin;Milieu;Golem;Mana;À distance;Piltover;2011;
Ornn;Masculin;Haut;Dieu - Esprit;Mana;Mêlée;Freljord;2017;
Pantheon;Masculin;Support - Haut;Hôte - Humain;Mana;Mêlée;Targon;2010;
Poppy;Feminin;Support - Haut;Yordle;Mana;Mêlée;Demacia;2010;
Pyke;Masculin;Support;Revenant;Mana;Mêlée;Bilgewater;2018;
Qiyana;Feminin;Milieu;Humain - Né magique;Mana;Mêlée;Ixtal;2019;
Quinn;Feminin;Haut;Humain;Mana;À distance;Demacia;2013;
Rakan;Masculin;Support;Vastaya;Mana;Mêlée;Ionia;2017;
Rammus;Masculin;Jungle;Inconnu;Mana;Mêlée;Shurima;2009;
Rek'Sai;Feminin;Jungle;Être du néant;Rage;Mêlée;Shurima - Le Néant;2014;
Rell;Feminin;Support;Humain - Altéré Magiquement - Né magique;Mana;Mêlée;Noxus;2020;
Renata Glasc;Feminin;Support;Altéré Chimiquement - Humain;Mana;À distance;Zaun;2022;
Renekton;Masculin;Haut;Dieu-Guerrier;Furie;Mêlée;Shurima;2011;
Rengar;Masculin;Jungle;Vastaya;Férocité;Mêlée;Ixtal - Shurima;2012;
Riven;Feminin;Haut;Humain;Sans Mana;Mêlée;Ionia - Noxus;2011;
Rumble;Masculin;Haut;Yordle;Vapeur;Mêlée;Bandle;2011;
Ryze;Masculin;Milieu - Haut;Humain - Altéré Magiquement;Mana;À distance;Runeterra;2009;
Samira;Feminin;Bas;Humain;Mana;À distance;Noxus - Shurima;2020;
Sejuani;Feminin;Jungle;Humain - Né de glace;Mana;Mêlée;Freljord;2012;
Senna;Feminin;Support;Humain - Mort-vivant;Mana;À distance;Îles Obscures;2019;
Séraphine;Feminin;Support;Humain - Né magique;Mana;À distance;Piltover - Zaun;2020;
Sett;Masculin;Haut;Humain - Vastaya;Agressivité;Mêlée;Ionia;2020;
Shaco;Masculin;Jungle;Esprit;Mana;Mêlée;Runeterra;2009;
Shen;Masculin;Support - Haut;Humain - Spiritualiste;Énergie;Mêlée;Ionia;2010;
Shyvana;Feminin;Jungle;Dragon - Altéré Magiquement;Furie;Mêlée;Demacia;2011;
Singed;Masculin;Haut;Altéré Chimiquement - Humain;Mana;Mêlée;Piltover - Zaun;2009;
Sion;Masculin;Haut;Revenant;Mana;Mêlée;Noxus;2009;
Sivir;Feminin;Bas;Humain;Mana;À distance;Shurima;2009;
Skarner;Masculin;Jungle;Brackern;Mana;Mêlée;Ixtal;2011;
Smolder;Masculin;Bas - Milieu;Dragon;Mana;À distance;Camavor - Noxus;2024;
Sona;Feminin;Support;Humain - Né magique;Mana;À distance;Demacia - Ionia;2010;
Soraka;Feminin;Support;Céleste;Mana;À distance;Ionia - Targon;2009;
Swain;Masculin;Support;Humain - Altéré Magiquement;Mana;À distance;Noxus;2010;
Sylas;Masculin;Milieu;Humain - Né magique;Mana;Mêlée;Demacia - Freljord;2019;
Syndra;Feminin;Milieu;Humain - Né magique;Mana;À distance;Ionia;2012;
Tahm Kench;Masculin;Support - Haut;Démon - Esprit;Mana;Mêlée;Bilgewater - Runeterra;2015;
Taliyah;Feminin;Jungle - Milieu;Humain - Né magique;Mana;À distance;Shurima;2016;
Talon;Masculin;Jungle - Milieu;Humain;Mana;Mêlée;Noxus;2011;
Taric;Masculin;Support;Hôte - Humain;Mana;Mêlée;Demacia - Targon;2009;
Teemo;Masculin;Jungle - Haut;Yordle;Mana;À distance;Bandle;2009;
Thresh;Masculin;Support;Mort-vivant;Mana;À distance;Îles Obscures;2013;
Tristana;Feminin;Bas;Yordle;Mana;À distance;Bandle;2009;
Tryndamere;Masculin;Haut;Humain - Altéré Magiquement;Furie;Mêlée;Freljord;2009;
Twisted Fate;Masculin;Milieu;Humain - Né magique;Mana;À distance;Bilgewater;2009;
Twitch;Masculin;Bas;Altéré Chimiquement - Rat;Mana;À distance;Zaun;2009;
Udyr;Masculin;Jungle;Humain - Spiritualiste;Mana;Mêlée;Freljord - Ionia;2009;
Urgot;Masculin;Haut;Altéré Chimiquement - Cyborg - Humain;Mana;À distance;Noxus - Zaun;2010;
Varus;Masculin;Bas;Darkin - Humain;Mana;À distance;Ionia - Runeterra - Shurima;2012;
Vayne;Feminin;Bas;Humain;Mana;À distance;Demacia;2011;
Veigar;Masculin;Milieu;Yordle;Mana;À distance;Bandle - Runeterra - Îles Obscures;2009;
Vel'Koz;Masculin;Milieu - Support;Être du néant;Mana;À distance;Le Néant;2014;
Vex;Feminin;Milieu;Yordle;Mana;À distance;Bandle - Îles Obscures;2021;
Vi;Feminin;Jungle;Humain;Mana;Mêlée;Piltover - Zaun;2012;
Viego;Masculin;Jungle;Mort-vivant;Sans Mana;Mêlée;Camavor - Îles Obscures;2021;
Viktor;Masculin;Milieu;Cyborg - Humain;Mana;À distance;Piltover - Zaun;2011;
Vladimir;Masculin;Milieu - Haut;Humain - Altéré Magiquement;Soif de sang;À distance;Camavor - Noxus - Îles Obscures;2010;
Volibear;Masculin;Jungle - Haut;Dieu - Esprit;Mana;Mêlée;Freljord;2011;
Warwick;Masculin;Jungle - Haut;Altéré Chimiquement - Cyborg - Humain;Mana;Mêlée;Zaun;2009;
Wukong;Masculin;Jungle - Haut;Vastaya;Mana;Mêlée;Ionia;2011;
Xayah;Feminin;Bas;Vastaya;Mana;À distance;Ionia;2017;
Xerath;Masculin;Milieu - Support;Dieu-Guerrier;Mana;À distance;Shurima;2011;
Xin Zhao;Masculin;Jungle;Humain;Mana;Mêlée;Demacia - Ionia - Noxus;2010;
Yasuo;Masculin;Milieu;Humain - Né magique;Vent;Mêlée;Ionia;2013;
Yone;Masculin;Milieu - Haut;Humain - Altéré Magiquement;Sans Mana;Mêlée;Ionia;2020;
Yorick;Masculin;Haut;Humain - Altéré Magiquement;Mana;Mêlée;Îles Obscures;2011;
Yuumi;Feminin;Support;Chat - Altéré Magiquement;Mana;À distance;Bandle;2019;
Zac;Masculin;Jungle;Golem;Coûts de santé;Mêlée;Zaun;2013;
Zed;Masculin;Milieu;Humain - Altéré Magiquement;Énergie;Mêlée;Ionia;2012;
Zeri;Feminin;Bas;Humain - Né magique;Mana;À distance;Zaun;2022;
Ziggs;Masculin;Bas - Milieu;Yordle;Mana;À distance;Zaun;2012;
Zilean;Masculin;Support;Humain - Né magique;Mana;À distance;Icathia - Runeterra - Shurima;2009;
Zoé;Feminin;Milieu - Support;Hôte - Humain;Mana;À distance;Targon;2017;
Trundle;Masculin;Jungle - Haut;Né de glace - Troll;Mana;Mêlée;Freljord;2010;
